transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0003,Jeddah-Main,233.67,419.13,60.17,97.94,42.4,NORMAL,C,05/25/2026 00:59:07
TRF-0004,Jeddah-Industrial,222.61,214.8,60.01,47.82,37.5,NORMAL,C,2026/05/25 00:59:07
TRF-0005,Dammam-Central,238.61,277.02,59.87,66.1,57.2,NORMAL,A,2026-05-25 00:59:07
TRF-0006,Dammam-Port,224.01,214.79,60.05,48.12,59.2,NORMAL,C,25-05-2026 00:59
TRF-0007,Mecca-Haram,238.92,293.66,59.94,70.16,49.4,NORMAL,A,2026/05/25 00:59:07
TRF-0008,Medina-Central,231.28,167.29,59.83,38.69,44.3,NORMAL,C,2026-05-25 00:59:07
TRF-0009,Abha-City,220.52,205.54,60.05,45.33,53.3,NORMAL,A,25-05-2026 00:59
TRF-0010,Tabuk-Center,223.01,486.69,60.15,108.54,48.4,NORMAL,B,25-05-2026 00:59
TRF-0001,Riyadh-North,235.02,320.11,60.07,75.23,56.8,NORMAL,B,05/25/2026 00:59:07
TRF-0002,Riyadh-East,231.15,229.79,60.13,53.12,41.4,NORMAL,C,2026/05/25 00:59:07
TRF-0003,Jeddah-Main,239.78,425.02,60.18,101.91,59.1,NORMAL,C,2026/05/25 00:59:07
TRF-0004,Jeddah-Industrial,220.37,228.65,59.86,50.39,250.0,OVERHEAT,B,2026/05/25 00:59:07
TRF-0005,Dammam-Central,225.08,331.83,59.94,74.69,33.1,NORMAL,C,05/25/2026 00:59:07
TRF-0006,Dammam-Port,237.25,102.64,59.83,24.35,47.5,NORMAL,C,2026-05-25 00:59:07
TRF-0007,Mecca-Haram,221.14,246.78,60.03,54.57,56.7,NORMAL,A,2026/05/25 00:59:07
TRF-0008,Medina-Central,232.49,330.21,59.84,76.77,47.8,NORMAL,C,2026/05/25 00:59:07
TRF-0009,Abha-City,230.65,0.0,59.94,0.0,43.4,OUTAGE,C,2026/05/25 00:59:07
TRF-0010,Tabuk-Center,239.6,485.52,59.82,116.33,37.2,NORMAL,B,2026/05/25 00:59:07
TRF-0001,Riyadh-North,221.96,376.53,60.14,83.57,46.9,NORMAL,B,25-05-2026 00:59
TRF-0002,Riyadh-East,227.65,416.76,59.94,94.88,32.4,NORMAL,B,05/25/2026 00:59:07
TRF-0003,Jeddah-Main,238.41,245.01,59.91,58.41,56.9,NORMAL,A,2026-05-25 00:59:07
TRF-0004,Jeddah-Industrial,234.84,134.15,59.84,31.5,47.1,NORMAL,B,2026-05-25 00:59:07
TRF-0005,Dammam-Central,234.78,114.47,60.08,26.88,51.0,NORMAL,B,2026-05-25 00:59:07
TRF-0006,Dammam-Port,239.31,370.3,59.89,88.62,31.0,NORMAL,C,2026/05/25 00:59:07
TRF-0007,Mecca-Haram,228.23,273.28,60.13,62.37,32.8,NORMAL,C,20260525T005907
TRF-0008,Medina-Central,239.06,192.87,60.11,46.11,47.5,NORMAL,B,2026/05/25 00:59:07
TRF-0009,Abha-City,220.63,202.8,60.15,44.74,45.8,NORMAL,C,25-05-2026 00:59
TRF-0010,Tabuk-Center,235.83,477.69,59.81,112.65,61.8,NORMAL,C,2026-05-25 00:59:07
TRF-0001,Riyadh-North,235.31,416.47,60.05,98.0,34.2,NORMAL,B,20260525T005908
TRF-0002,Riyadh-East,228.58,306.48,60.01,70.06,51.2,NORMAL,C,25-05-2026 00:59
TRF-0003,Jeddah-Main,232.14,485.72,59.83,112.76,47.6,NORMAL,B,20260525T005908
TRF-0004,Jeddah-Industrial,-230,268.73,60.16,61.92,38.1,NORMAL,B,20260525T005908
TRF-0004,Jeddah-Industrial,-230,268.73,60.16,61.92,38.1,NORMAL,B,20260525T005908
TRF-0005,Dammam-Central,227.59,298.23,59.85,67.87,57.4,NORMAL,B,20260525T005908
TRF-0006,Dammam-Port,228.37,294.03,59.93,67.15,38.2,NORMAL,B,20260525T005908
TRF-0007,Mecca-Haram,221.38,463.23,50.41,102.55,38.0,FREQ_DRIFT,B,25-05-2026 00:59
TRF-0008,Medina-Central,225.17,292.97,60.18,65.97,59.3,NORMAL,A,20260525T005908
TRF-0009,Abha-City,237.43,159.32,60.2,37.83,49.0,NORMAL,C,05/25/2026 00:59:08
TRF-0010,Tabuk-Center,233.46,334.71,59.87,78.14,53.2,NORMAL,B,2026-05-25 00:59:08
TRF-0001,Riyadh-North,229.28,180.65,59.87,41.42,31.3,NORMAL,B,20260525T005908
TRF-0002,Riyadh-East,233.67,499.35,60.13,116.68,42.0,NORMAL,A,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,222.56,367.37,60.12,81.76,35.2,NORMAL,C,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,223.0,305.51,60.01,68.13,42.6,NORMAL,C,20260525T005908
TRF-0005,Dammam-Central,220.75,285.45,60.13,63.01,32.8,NORMAL,A,05/25/2026 00:59:08
TRF-0006,Dammam-Port,239.49,263.52,59.99,63.11,42.1,NORMAL,A,25-05-2026 00:59
TRF-0007,Mecca-Haram,229.98,310.26,60.03,71.35,62.3,NORMAL,C,2026/05/25 00:59:08
TRF-0008,Medina-Central,222.43,218.18,59.87,48.53,31.5,NORMAL,C,2026/05/25 00:59:08
TRF-0009,Abha-City,239.21,482.79,59.87,115.49,48.9,NORMAL,A,25-05-2026 00:59
TRF-0010,Tabuk-Center,225.4,279.43,59.93,62.98,32.7,NORMAL,B,2026-05-25 00:59:08
TRF-0010,Tabuk-Center,225.4,279.43,59.93,62.98,32.7,NORMAL,B,2026-05-25 00:59:08
TRF-0001,Riyadh-North,223.48,347.42,59.88,77.64,54.1,NORMAL,C,2026/05/25 00:59:08
TRF-0002,Riyadh-East,233.79,424.85,60.12,99.33,48.5,NORMAL,B,25-05-2026 00:59
TRF-0003,Jeddah-Main,231.57,203.04,60.1,47.02,42.7,NORMAL,A,2026-05-25 00:59:08
TRF-0004,Jeddah-Industrial,228.19,470.32,60.11,107.32,56.3,NORMAL,A,20260525T005908
TRF-0005,Dammam-Central,236.28,170.29,60.09,40.24,40.1,NORMAL,B,25-05-2026 00:59
TRF-0006,Dammam-Port,235.7,298.25,59.92,70.3,64.5,NORMAL,B,25-05-2026 00:59
TRF-0007,Mecca-Haram,228.55,371.14,59.91,84.82,36.6,NORMAL,B,2026/05/25 00:59:08
TRF-0008,Medina-Central,239.1,228.41,60.02,54.61,51.0,NORMAL,C,20260525T005908
TRF-0009,Abha-City,224.18,211.27,60.14,47.36,38.0,NORMAL,C,2026-05-25 00:59:08
TRF-0010,Tabuk-Center,220.06,154.42,60.2,33.98,61.6,NORMAL,C,05/25/2026 00:59:08
TRF-0001,Riyadh-North,235.27,262.91,60.14,61.85,58.9,NORMAL,A,2026-05-25 00:59:08
TRF-0002,Riyadh-East,235.25,342.79,59.98,80.64,62.8,NORMAL,B,2026-05-25 00:59:08
TRF-0003,Jeddah-Main,221.19,277.27,59.87,61.33,62.9,NORMAL,C,25-05-2026 00:59
TRF-0003,Jeddah-Main,221.19,277.27,59.87,61.33,62.9,NORMAL,C,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,229.05,301.62,59.8,69.09,61.8,NORMAL,B,2026-05-25 00:59:08
TRF-0005,Dammam-Central,228.91,147.23,60.1,33.7,48.2,NORMAL,C,05/25/2026 00:59:08
TRF-0006,Dammam-Port,237.77,380.05,59.85,90.36,46.6,NORMAL,B,25-05-2026 00:59
TRF-0007,Mecca-Haram,238.97,399.29,60.04,95.42,53.6,NORMAL,C,25-05-2026 00:59
TRF-0008,Medina-Central,221.51,370.82,60.11,82.14,44.7,NORMAL,C,2026-05-25 00:59:08
TRF-0009,Abha-City,232.62,194.25,59.93,45.19,50.3,NORMAL,C,2026/05/25 00:59:08
TRF-0010,Tabuk-Center,223.75,218.95,60.15,48.99,45.1,NORMAL,C,2026/05/25 00:59:08
TRF-0001,Riyadh-North,220.64,220.93,60.19,48.75,51.1,NORMAL,C,25-05-2026 00:59
TRF-0002,Riyadh-East,220.21,181.68,59.85,40.01,49.8,NORMAL,C,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,226.76,154.37,60.15,35.0,36.7,NORMAL,A,2026-05-25 00:59:08
TRF-0004,Jeddah-Industrial,237.63,252.5,59.86,60.0,63.1,NORMAL,B,2026/05/25 00:59:08
TRF-0005,Dammam-Central,237.9,323.43,60.13,76.94,54.8,NORMAL,C,2026-05-25 00:59:08
TRF-0006,Dammam-Port,223.52,316.17,60.2,70.67,36.0,NORMAL,B,05/25/2026 00:59:08
TRF-0007,Mecca-Haram,225.86,202.74,60.08,45.79,37.3,NORMAL,C,20260525T005908
TRF-0008,Medina-Central,235.47,134.7,59.8,31.72,36.9,NORMAL,A,2026-05-25 00:59:08
TRF-0009,Abha-City,229.77,187.49,60.09,43.08,51.4,NORMAL,B,2026-05-25 00:59:08
TRF-0010,Tabuk-Center,221.9,171.72,59.93,38.1,59.6,NORMAL,C,20260525T005908
TRF-0001,Riyadh-North,230.43,379.3,60.16,87.4,32.2,NORMAL,B,20260525T005908
TRF-0002,Riyadh-East,228.59,160.01,59.86,36.58,57.5,NORMAL,A,25-05-2026 00:59
TRF-0003,Jeddah-Main,238.0,329.65,59.84,78.46,53.5,NORMAL,C,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,238.0,329.65,59.84,78.46,53.5,NORMAL,C,05/25/2026 00:59:08
TRF-0004,Jeddah-Industrial,220.13,115.87,60.01,25.51,49.6,NORMAL,B,2026-05-25 00:59:08
TRF-0005,Dammam-Central,221.91,224.08,59.98,49.73,42.1,NORMAL,A,25-05-2026 00:59
TRF-0006,Dammam-Port,235.91,380.3,59.84,89.72,64.6,NORMAL,B,05/25/2026 00:59:08
TRF-0007,Mecca-Haram,222.75,177.3,59.88,39.49,54.9,NORMAL,C,05/25/2026 00:59:08
TRF-0008,Medina-Central,226.0,389.56,59.81,88.04,32.1,NORMAL,C,2026-05-25 00:59:08
TRF-0009,Abha-City,229.31,455.77,60.14,104.51,250.0,OVERHEAT,C,20260525T005908
TRF-0010,Tabuk-Center,237.96,222.31,60.12,52.9,45.9,NORMAL,B,05/25/2026 00:59:08
TRF-0001,Riyadh-North,233.38,147.93,59.94,34.52,41.2,NORMAL,B,05/25/2026 00:59:08
TRF-0002,Riyadh-East,239.88,377.98,59.91,90.67,56.6,NORMAL,B,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,225.59,206.3,59.98,46.54,64.5,NORMAL,A,2026/05/25 00:59:08
TRF-0004,Jeddah-Industrial,221.82,340.61,59.97,75.55,63.4,NORMAL,B,05/25/2026 00:59:08
TRF-0005,Dammam-Central,239.25,459.2,59.82,109.86,37.1,NORMAL,B,2026/05/25 00:59:08
TRF-0006,Dammam-Port,222.47,196.89,60.19,43.8,30.1,NORMAL,B,05/25/2026 00:59:08
TRF-0007,Mecca-Haram,235.31,303.29,60.03,71.37,250.0,OVERHEAT,A,2026/05/25 00:59:08
TRF-0008,Medina-Central,239.65,945.73,60.01,245.66,129.0,OVERLOAD,A,25-05-2026 00:59
TRF-0009,Abha-City,224.47,448.53,59.88,100.68,45.6,NORMAL,C,05/25/2026 00:59:08
TRF-0010,Tabuk-Center,234.54,489.69,59.8,114.85,48.4,NORMAL,A,20260525T005908
TRF-0001,Riyadh-North,230.81,237.91,59.84,54.91,49.9,NORMAL,A,25-05-2026 00:59
TRF-0002,Riyadh-East,234.38,380.44,59.91,89.17,63.4,NORMAL,B,2026/05/25 00:59:08
TRF-0003,Jeddah-Main,229.71,477.27,60.04,109.63,39.2,NORMAL,B,05/25/2026 00:59:08
TRF-0004,Jeddah-Industrial,239.42,400.97,59.82,96.0,48.2,NORMAL,B,20260525T005908
TRF-0005,Dammam-Central,239.23,439.82,59.8,105.22,40.2,NORMAL,B,05/25/2026 00:59:08
TRF-0006,Dammam-Port,230.42,348.96,59.93,80.41,53.1,NORMAL,B,05/25/2026 00:59:08
TRF-0007,Mecca-Haram,239.06,465.05,60.14,111.17,31.6,NORMAL,C,2026/05/25 00:59:08
TRF-0008,Medina-Central,238.19,445.29,59.92,106.06,45.6,NORMAL,B,2026/05/25 00:59:08
TRF-0009,Abha-City,232.45,126.96,60.04,29.51,51.9,NORMAL,A,20260525T005908
TRF-0010,Tabuk-Center,227.18,406.51,59.95,92.35,38.6,NORMAL,C,2026/05/25 00:59:08
TRF-0001,Riyadh-North,226.93,186.62,60.08,42.35,64.0,NORMAL,C,20260525T005908
TRF-0002,Riyadh-East,239.24,230.85,59.92,55.23,57.6,NORMAL,C,2026/05/25 00:59:08
TRF-0003,Jeddah-Main,225.52,367.8,60.14,82.95,44.5,NORMAL,B,20260525T005908
TRF-0004,Jeddah-Industrial,221.9,158.74,59.84,35.22,58.9,NORMAL,A,20260525T005908
TRF-0005,Dammam-Central,233.89,135.57,60.17,31.71,59.0,NORMAL,B,2026-05-25 00:59:08
TRF-0006,Dammam-Port,234.82,188.37,59.83,44.23,34.6,NORMAL,B,2026/05/25 00:59:08
TRF-0007,Mecca-Haram,234.08,160.08,60.09,37.47,64.7,NORMAL,B,25-05-2026 00:59
TRF-0008,Medina-Central,225.3,198.66,60.03,44.76,36.3,NORMAL,A,05/25/2026 00:59:08
TRF-0009,Abha-City,223.07,185.46,60.02,41.37,34.7,NORMAL,C,20260525T005908
TRF-0010,Tabuk-Center,220.93,331.47,60.11,73.23,33.7,NORMAL,B,20260525T005908
TRF-0001,Riyadh-North,237.46,302.03,60.16,71.72,52.2,NORMAL,C,2026/05/25 00:59:08
TRF-0001,Riyadh-North,237.46,302.03,60.16,71.72,52.2,NORMAL,C,2026/05/25 00:59:08
TRF-0002,Riyadh-East,229.89,1126.98,59.88,294.25,119.5,OVERLOAD,A,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,231.49,157.39,60.17,36.43,48.4,NORMAL,B,2026/05/25 00:59:08
TRF-0004,Jeddah-Industrial,236.44,238.03,59.99,56.28,41.0,NORMAL,C,20260525T005908
TRF-0005,Dammam-Central,233.55,334.62,59.92,78.15,30.7,NORMAL,B,25-05-2026 00:59
TRF-0006,Dammam-Port,225.06,356.18,59.81,80.16,64.7,NORMAL,C,2026-05-25 00:59:08
TRF-0007,Mecca-Haram,232.66,461.13,59.98,107.29,36.1,NORMAL,A,2026-05-25 00:59:08
TRF-0008,Medina-Central,233.03,389.64,60.03,90.8,36.0,NORMAL,B,25-05-2026 00:59
TRF-0009,Abha-City,223.73,210.41,59.83,47.08,48.7,NORMAL,A,25-05-2026 00:59
TRF-0010,Tabuk-Center,230.64,230.23,59.85,53.1,41.7,NORMAL,C,2026-05-25 00:59:08
TRF-0010,Tabuk-Center,230.64,230.23,59.85,53.1,41.7,NORMAL,C,2026-05-25 00:59:08
TRF-0001,Riyadh-North,226.9,132.71,59.92,30.11,61.5,NORMAL,C,05/25/2026 00:59:08
TRF-0002,Riyadh-East,222.03,206.15,59.89,45.77,41.5,NORMAL,A,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,222.93,473.51,60.15,105.56,35.9,NORMAL,C,2026-05-25 00:59:08
TRF-0004,Jeddah-Industrial,224.7,451.88,60.07,101.54,30.2,NORMAL,A,20260525T005908
TRF-0005,Dammam-Central,221.03,119.11,59.87,26.33,59.1,NORMAL,B,25-05-2026 00:59
TRF-0006,Dammam-Port,231.61,454.1,60.0,105.17,55.8,NORMAL,B,20260525T005908
TRF-0006,Dammam-Port,231.61,454.1,60.0,105.17,55.8,NORMAL,B,20260525T005908
TRF-0007,Mecca-Haram,221.32,122.44,60.17,27.1,42.0,NORMAL,A,25-05-2026 00:59
TRF-0008,Medina-Central,220.07,369.99,60.01,81.42,50.8,NORMAL,B,2026-05-25 00:59:08
TRF-0009,Abha-City,237.65,173.02,60.0,41.12,31.2,NORMAL,A,05/25/2026 00:59:08
TRF-0010,Tabuk-Center,230.77,365.74,59.91,84.4,41.8,NORMAL,C,2026-05-25 00:59:08
TRF-0001,Riyadh-North,234.85,474.91,60.02,111.53,56.9,NORMAL,B,05/25/2026 00:59:08
TRF-0002,Riyadh-East,228.25,272.42,,62.18,34.0,NORMAL,A,25-05-2026 00:59
TRF-0003,Jeddah-Main,226.61,330.75,60.12,74.95,38.4,NORMAL,C,20260525T005908
TRF-0004,Jeddah-Industrial,224.92,217.78,59.97,48.98,42.3,NORMAL,C,2026-05-25 00:59:08
TRF-0005,Dammam-Central,231.58,485.1,60.04,112.34,49.5,NORMAL,A,2026-05-25 00:59:08
TRF-0006,Dammam-Port,224.27,479.05,59.87,107.44,59.9,NORMAL,C,20260525T005908
TRF-0007,Mecca-Haram,232.49,394.26,60.09,91.66,,NORMAL,C,05/25/2026 00:59:08
TRF-0008,Medina-Central,227.51,263.36,59.89,59.92,42.5,NORMAL,B,25-05-2026 00:59
TRF-0009,Abha-City,225.7,113.64,59.99,25.65,63.5,NORMAL,B,20260525T005908
TRF-0010,Tabuk-Center,234.56,151.4,60.12,35.51,56.8,NORMAL,C,25-05-2026 00:59
TRF-0010,Tabuk-Center,234.56,151.4,60.12,35.51,56.8,NORMAL,C,25-05-2026 00:59
TRF-0001,Riyadh-North,239.82,167.65,59.87,40.21,52.9,NORMAL,C,2026-05-25 00:59:08
TRF-0002,Riyadh-East,225.19,195.91,60.02,44.12,46.6,NORMAL,C,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,238.16,285.62,60.13,68.02,37.6,NORMAL,C,2026/05/25 00:59:08
TRF-0004,Jeddah-Industrial,233.59,161.08,59.95,37.63,41.2,NORMAL,A,2026/05/25 00:59:08
TRF-0005,Dammam-Central,230.47,259.96,60.05,59.91,47.8,NORMAL,B,2026-05-25 00:59:08
TRF-0006,Dammam-Port,227.16,203.05,60.0,46.12,44.1,NORMAL,B,2026/05/25 00:59:08
TRF-0007,Mecca-Haram,224.74,142.61,60.04,32.05,39.0,NORMAL,B,20260525T005908
TRF-0007,Mecca-Haram,224.74,142.61,60.04,32.05,39.0,NORMAL,B,20260525T005908
TRF-0008,Medina-Central,232.83,445.28,60.17,103.67,58.4,NORMAL,B,2026-05-25 00:59:08
TRF-0009,Abha-City,228.71,388.23,60.15,88.79,62.8,NORMAL,B,25-05-2026 00:59
TRF-0010,Tabuk-Center,229.28,452.14,60.04,103.67,42.0,NORMAL,C,25-05-2026 00:59
TRF-0001,Riyadh-North,227.66,201.28,59.98,45.82,57.6,NORMAL,C,05/25/2026 00:59:08
TRF-0002,Riyadh-East,224.41,305.79,59.98,68.62,52.7,NORMAL,A,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,221.77,208.08,60.01,46.15,44.1,NORMAL,A,2026-05-25 00:59:08
TRF-0004,Jeddah-Industrial,225.47,175.72,59.95,39.62,44.0,NORMAL,A,20260525T005908
TRF-0005,Dammam-Central,223.51,317.41,59.9,70.94,36.1,NORMAL,B,20260525T005908
TRF-0006,Dammam-Port,238.3,247.44,59.92,,64.1,NORMAL,C,25-05-2026 00:59
TRF-0007,Mecca-Haram,228.94,234.08,59.84,53.59,30.9,NORMAL,B,2026-05-25 00:59:08
TRF-0008,Medina-Central,228.89,0.0,59.87,0.0,31.1,OUTAGE,A,05/25/2026 00:59:08
TRF-0009,Abha-City,234.14,238.37,59.95,55.81,33.9,NORMAL,C,2026/05/25 00:59:08
TRF-0010,Tabuk-Center,234.48,348.0,60.07,81.6,56.9,NORMAL,B,2026-05-25 00:59:08
TRF-0001,Riyadh-North,220.83,169.53,60.06,37.44,44.9,NORMAL,A,25-05-2026 00:59
TRF-0002,Riyadh-East,225.28,352.04,59.88,79.31,,NORMAL,B,2026/05/25 00:59:08
TRF-0003,Jeddah-Main,234.37,430.57,60.06,100.91,52.0,NORMAL,B,2026/05/25 00:59:08
TRF-0004,Jeddah-Industrial,226.15,320.03,59.86,72.37,47.4,NORMAL,B,05/25/2026 00:59:08
TRF-0005,Dammam-Central,231.92,488.33,60.15,113.25,47.1,NORMAL,B,20260525T005908
TRF-0006,Dammam-Port,233.24,454.25,60.17,105.95,47.8,NORMAL,C,2026/05/25 00:59:08
TRF-0007,Mecca-Haram,233.66,328.7,59.98,76.8,51.0,NORMAL,C,25-05-2026 00:59
TRF-0008,Medina-Central,235.89,347.53,60.06,81.98,57.2,NORMAL,A,2026/05/25 00:59:08
TRF-0009,Abha-City,239.78,380.13,59.92,91.15,36.7,NORMAL,B,2026/05/25 00:59:08
TRF-0010,Tabuk-Center,220.74,162.07,60.14,35.78,32.1,NORMAL,B,05/25/2026 00:59:08
TRF-0001,Riyadh-North,233.26,294.48,60.13,68.69,60.0,NORMAL,C,25-05-2026 00:59
TRF-0002,Riyadh-East,238.95,386.88,59.96,92.44,,NORMAL,C,2026/05/25 00:59:08
TRF-0003,Jeddah-Main,223.44,223.49,60.17,49.94,62.7,NORMAL,A,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,226.99,109.23,59.98,24.79,60.1,NORMAL,C,2026/05/25 00:59:08
TRF-0005,Dammam-Central,220.03,455.12,51.19,100.14,45.8,FREQ_DRIFT,C,2026-05-25 00:59:08
TRF-0006,Dammam-Port,225.42,243.7,59.93,54.93,46.9,NORMAL,B,20260525T005908
TRF-0007,Mecca-Haram,230.57,138.05,59.85,31.83,40.9,NORMAL,C,2026-05-25 00:59:08
TRF-0008,Medina-Central,234.46,472.43,59.88,110.77,59.5,NORMAL,A,2026/05/25 00:59:08
TRF-0009,Abha-City,232.04,358.91,60.14,83.28,46.8,NORMAL,C,2026/05/25 00:59:08
TRF-0010,Tabuk-Center,226.66,442.47,60.16,100.29,35.5,NORMAL,C,2026/05/25 00:59:08
TRF-0001,Riyadh-North,226.01,162.69,59.84,36.77,52.2,NORMAL,C,2026-05-25 00:59:08
TRF-0002,Riyadh-East,238.15,197.05,60.04,46.93,39.6,NORMAL,A,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,227.09,206.26,59.81,46.84,49.9,NORMAL,A,05/25/2026 00:59:08
TRF-0004,Jeddah-Industrial,231.75,364.63,60.02,84.5,33.8,NORMAL,A,2026/05/25 00:59:08
TRF-0005,Dammam-Central,228.35,330.55,59.97,75.48,45.3,NORMAL,A,2026-05-25 00:59:08
TRF-0006,Dammam-Port,223.4,121.74,59.93,27.2,62.9,NORMAL,B,20260525T005908
TRF-0007,Mecca-Haram,231.96,326.83,59.98,75.81,42.2,NORMAL,A,05/25/2026 00:59:08
TRF-0008,Medina-Central,232.08,272.71,60.03,63.29,37.6,NORMAL,A,2026/05/25 00:59:08
TRF-0009,Abha-City,222.25,430.07,59.96,95.58,59.2,NORMAL,A,25-05-2026 00:59
TRF-0010,Tabuk-Center,239.93,175.35,60.11,42.07,52.5,NORMAL,B,05/25/2026 00:59:08
TRF-0001,Riyadh-North,236.26,202.92,59.91,47.94,56.2,NORMAL,A,20260525T005908
TRF-0002,Riyadh-East,228.4,307.99,60.14,70.34,34.5,NORMAL,C,05/25/2026 00:59:08
TRF-0003,Jeddah-Main,222.05,279.07,60.12,61.97,44.1,NORMAL,B,05/25/2026 00:59:08
TRF-0004,Jeddah-Industrial,235.28,413.55,59.9,97.3,56.3,NORMAL,A,2026/05/25 00:59:08
TRF-0005,Dammam-Central,235.89,341.23,60.12,80.49,44.3,NORMAL,C,2026/05/25 00:59:08
TRF-0006,Dammam-Port,222.79,241.07,59.83,53.71,34.4,NORMAL,A,2026-05-25 00:59:08
TRF-0007,Mecca-Haram,231.29,343.46,60.11,79.44,31.8,NORMAL,C,20260525T005908
TRF-0008,Medina-Central,237.48,318.8,59.86,75.71,49.1,NORMAL,C,05/25/2026 00:59:08
TRF-0009,Abha-City,223.27,341.19,59.96,76.18,34.7,NORMAL,B,05/25/2026 00:59:08
TRF-0010,Tabuk-Center,-230,174.13,59.86,41.18,30.9,NORMAL,B,2026-05-25 00:59:08
TRF-0001,Riyadh-North,234.81,393.59,59.88,92.42,35.7,NORMAL,B,25-05-2026 00:59
TRF-0002,Riyadh-East,228.42,166.08,60.07,37.94,58.7,NORMAL,B,20260525T005908
TRF-0004,Jeddah-Industrial,233.67,440.86,59.81,103.02,32.8,NORMAL,A,2026/05/25 00:59:08
TRF-0005,Dammam-Central,239.28,291.72,51.71,69.8,30.3,FREQ_DRIFT,A,2026-05-25 00:59:08
TRF-0006,Dammam-Port,236.79,481.34,60.02,113.98,60.8,NORMAL,A,20260525T005908
TRF-0007,Mecca-Haram,237.05,176.15,59.99,41.76,58.0,NORMAL,C,25-05-2026 00:59
TRF-0008,Medina-Central,227.75,435.78,60.03,99.25,60.8,NORMAL,C,2026-05-25 00:59:08
TRF-0009,Abha-City,230.86,142.81,59.96,32.97,54.4,NORMAL,A,20260525T005908
TRF-0010,Tabuk-Center,236.05,454.42,60.2,107.27,45.7,NORMAL,B,20260525T005908
TRF-0001,Riyadh-North,239.95,236.01,59.9,56.63,34.6,NORMAL,A,25-05-2026 00:59
TRF-0002,Riyadh-East,224.56,479.3,59.96,107.63,54.5,NORMAL,A,25-05-2026 00:59
TRF-0003,Jeddah-Main,220.26,337.22,59.98,74.28,36.4,NORMAL,B,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,224.71,257.1,60.03,57.77,36.4,NORMAL,B,2026/05/25 00:59:09
TRF-0005,Dammam-Central,231.77,451.79,59.91,104.71,39.0,NORMAL,A,25-05-2026 00:59
TRF-0006,Dammam-Port,230.24,445.83,60.13,102.65,40.1,NORMAL,A,20260525T005909
TRF-0007,Mecca-Haram,226.96,100.69,60.04,22.85,43.7,NORMAL,C,05/25/2026 00:59:09
TRF-0008,Medina-Central,227.76,336.37,59.84,76.61,37.6,NORMAL,A,2026-05-25 00:59:09
