product_id,product_name,category,price,inventory,created_at,updated_at
PRD000031,Portable Charger 31,Electronics,27.24,63,2026-04-14T08:00:00Z,2026-04-15T08:00:00Z
PRD000032,Water Bottle 32,Home,34.49,76,2026-04-13T08:00:00Z,2026-04-15T08:00:00Z
PRD000033,Sports Jacket 33,Fashion,40.99,89,2026-04-12T08:00:00Z,2026-04-15T08:00:00Z
PRD000034,Perfume Mist 34,Beauty,48.24,102,2026-04-11T08:00:00Z,2026-04-15T08:00:00Z
PRD000035,Jump Rope 35,Sports,55.49,115,2026-04-10T08:00:00Z,2026-04-15T08:00:00Z
PRD000036,Travel Notebook 36,Books,11.99,128,2026-04-09T08:00:00Z,2026-04-15T08:00:00Z
PRD000037,Wireless Earbuds 37,Electronics,19.24,141,2026-04-08T08:00:00Z,2026-04-15T08:00:00Z
PRD000038,Coffee Maker 38,Home,26.49,154,2026-04-07T08:00:00Z,2026-04-15T08:00:00Z
PRD000039,Everyday Backpack 39,Fashion,32.99,167,2026-04-06T08:00:00Z,2026-04-15T08:00:00Z
PRD000040,Skin Care Set 40,Beauty,40.24,180,2026-04-25T08:00:00Z,2026-04-25T08:00:00Z
PRD000041,Yoga Mat 41,Sports,47.49,193,2026-04-24T08:00:00Z,2026-04-25T08:00:00Z
PRD000042,Data Engineering Guide 42,Books,53.99,26,2026-04-23T08:00:00Z,2026-04-25T08:00:00Z
PRD000043,Smart Watch 43,Electronics,11.24,39,2026-04-22T08:00:00Z,2026-04-25T08:00:00Z
PRD000044,Desk Lamp 44,Home,18.49,52,2026-04-21T08:00:00Z,2026-04-25T08:00:00Z
PRD000045,Cotton Hoodie 45,Fashion,24.99,65,2026-04-20T08:00:00Z,2026-04-25T08:00:00Z
PRD000046,Hair Dryer 46,Beauty,32.24,78,2026-04-19T08:00:00Z,2026-04-25T08:00:00Z
PRD000047,Resistance Bands 47,Sports,39.49,91,2026-04-18T08:00:00Z,2026-04-25T08:00:00Z
PRD000048,Product Design Book 48,Books,45.99,104,2026-04-17T08:00:00Z,2026-04-25T08:00:00Z
PRD000049,Bluetooth Speaker 49,Electronics,53.24,117,2026-04-16T08:00:00Z,2026-04-25T08:00:00Z
PRD000050,Air Purifier 50,Home,10.49,130,2026-04-15T08:00:00Z,2026-04-15T08:00:00Z
PRD000051,Running Shoes 51,Fashion,16.99,143,2026-04-14T08:00:00Z,2026-04-15T08:00:00Z
PRD000052,Face Cleanser 52,Beauty,24.24,156,2026-04-13T08:00:00Z,2026-04-15T08:00:00Z
PRD000053,Fitness Tracker 53,Sports,31.49,169,2026-04-12T08:00:00Z,2026-04-15T08:00:00Z
PRD000054,Business Analytics Book 54,Books,37.99,182,2026-04-11T08:00:00Z,2026-04-15T08:00:00Z
PRD000055,USB-C Hub 55,Electronics,45.24,195,2026-04-10T08:00:00Z,2026-04-15T08:00:00Z
PRD000056,Storage Basket 56,Home,52.49,28,2026-04-09T08:00:00Z,2026-04-15T08:00:00Z
PRD000057,Classic Cap 57,Fashion,58.99,41,2026-04-08T08:00:00Z,2026-04-15T08:00:00Z
PRD000058,Body Lotion 58,Beauty,16.24,54,2026-04-07T08:00:00Z,2026-04-15T08:00:00Z
PRD000059,Insulated Bottle 59,Sports,23.49,67,2026-04-06T08:00:00Z,2026-04-15T08:00:00Z
PRD000060,Python Cookbook 60,Books,29.99,80,2026-04-25T08:00:00Z,2026-04-25T08:00:00Z
PRD000061,Gaming Mouse 61,Electronics,37.24,93,2026-04-24T08:00:00Z,2026-04-25T08:00:00Z
PRD000062,Kitchen Scale 62,Home,44.49,106,2026-04-23T08:00:00Z,2026-04-25T08:00:00Z
PRD000063,Travel Wallet 63,Fashion,50.99,119,2026-04-22T08:00:00Z,2026-04-25T08:00:00Z
PRD000064,Makeup Brush Set 64,Beauty,58.24,132,2026-04-21T08:00:00Z,2026-04-25T08:00:00Z
PRD000065,Training Gloves 65,Sports,15.49,145,2026-04-20T08:00:00Z,2026-04-25T08:00:00Z
PRD000066,Leadership Journal 66,Books,21.99,158,2026-04-19T08:00:00Z,2026-04-25T08:00:00Z
PRD000067,Portable Charger 67,Electronics,29.24,171,2026-04-18T08:00:00Z,2026-04-25T08:00:00Z
PRD000068,Water Bottle 68,Home,36.49,184,2026-04-17T08:00:00Z,2026-04-25T08:00:00Z
PRD000069,Sports Jacket 69,Fashion,42.99,197,2026-04-16T08:00:00Z,2026-04-25T08:00:00Z
PRD000070,Perfume Mist 70,Beauty,50.24,30,2026-04-15T08:00:00Z,2026-04-15T08:00:00Z
PRD000071,Jump Rope 71,Sports,57.49,43,2026-04-14T08:00:00Z,2026-04-15T08:00:00Z
PRD000072,Travel Notebook 72,Books,13.99,56,2026-04-13T08:00:00Z,2026-04-15T08:00:00Z
